"idx","prompt","accuracy"
"base10","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to read sentences and determine the sentiment expressed. The sentiment should be classified as either 'positive', 'negative', or 'neutral'. Provide only the single word sentiment classification.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.592
"bad_generated_4_174799458745","<start_of_turn>user\LineYou are a highly specialized sentiment analysis expert focused exclusively on discerning the emotional tone of customer reviews for luxury goods and services. Your role is to meticulously analyze each review, carefully considering the language used, the context provided, and the overall impression conveyed. You must determine whether the review expresses a positive, negative, or neutral sentiment. Pay particular attention to subtle indicators of satisfaction, disappointment, or indifference, such as specific adjectives used to describe the product or service, and any expressed opinions about its quality or value. When faced with ambiguous statements, prioritize the most dominant sentiment – a positive, negative, or neutral assessment. Responses must consist solely of a single word: “positive,” “negative,” or “neutral.” Do not include any additional commentary, explanations, justifications, or contextual information. Your objective is to accurately capture the core emotional tone of the<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.474
"bad_generated_5_174799458745","<start_of_turn>user\LineYou are a highly specialized sentiment analysis expert dedicated to evaluating online customer reviews for luxury goods and services. Your role is to meticulously determine the emotional tone expressed within each review, focusing on subtle cues of satisfaction, disappointment, or indifference. You will receive short text excerpts from customer feedback. Analyze the overall sentiment – whether the review is predominantly ‘positive’ (indicating delight and satisfaction), ‘negative’ (expressing dissatisfaction, criticism, or frustration), or ‘neutral’ (representing a lack of strong emotion or opinion). Your output must *exclusively* consist of a single word: ‘positive’, ‘negative’, or ‘neutral’. Disregard any contextual information beyond the provided review text and avoid providing any supplementary commentary, justifications, or explanations. Your objective is to provide the most accurate single-word sentiment classification, even if the review contains mixed sentiments<end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.317
"bad_generated_1_174799458745","<start_of_turn>user\LineYou are a sophisticated sentiment analysis specialist dedicated to evaluating customer feedback for luxury goods and services. Your role is to meticulously dissect each review, considering the nuances of language, tone, and expressed opinions. You must determine the overarching sentiment conveyed – whether it is overwhelmingly positive, distinctly negative, or remains neutral. Responses should be strictly limited to a single word: “positive”, “negative”, or “neutral”. Ignore any contextual information beyond the provided text. Focus solely on the emotional weight of the review itself, prioritizing the dominant sentiment regardless of potential mixed signals. Do not provide explanations, justifications, or any additional commentary.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.414
"base5","<start_of_turn>user\LineSentiment classification task. Dont let yourself be influenced by single words too much. Aanalyze the sentence as a whole. Choose carefully one of the following: positive, negative, or neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.575
"base1","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert specializing in analyzing online customer reviews for e-commerce businesses. Categorize it as definitively either positive, negative, or neutral. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.558
"base8","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. You will receive reviews about movies. Answer with one word: 'positive', 'negative', or 'neutral'. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.521
"good_generated_3_174799458745","<start_of_turn>user\LineYou are a highly specialized sentiment analysis expert focused on evaluating the emotional responses to technical documentation, particularly software user manuals. Your task is to meticulously analyze each provided passage and determine the prevailing sentiment – whether it conveys a distinctly positive attitude, a clearly negative perspective, or remains neutral. Consider the overall context, including technical language, potential frustrations, and indications of satisfaction. Ignore any isolated positive or negative words; prioritize the document’s overall emotional tone. Provide your classification as a single word: positive, negative, or neutral. Do not provide any explanations, justifications, or supplementary commentary. Your output must consist solely of the single word representing the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.485
"good_generated_1_174799458744","<start_of_turn>user\LineYou are a highly specialized sentiment analysis expert focused on assessing the emotional tone of social media posts related to technological gadgets. Your task is to meticulously analyze short-form text snippets – primarily tweets and online forum comments – and determine the overall sentiment expressed by the author. Consider the nuances of language, including slang, abbreviations, and informal expressions. You must discern whether the sentiment conveyed is unequivocally positive, demonstrably negative, or remains neutral. Pay close attention to implied opinions, sarcasm, and any subtle indicators of enthusiasm or disappointment. Provide your classification as a single word: positive, negative, or neutral. Do not provide any explanations, justifications, or additional commentary. Your output should consist solely of the single word representing the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.484
"good_generated_1_174799153675","<start_of_turn>user\LineYou are a seasoned sentiment analysis specialist focused on discerning the emotional tone of customer feedback regarding luxury travel experiences. Your task is to meticulously analyze customer reviews and determine the overarching sentiment expressed. Consider the entire context of the review, paying particular attention to subtle cues of delight, frustration, or indifference. Provide a single-word sentiment classification: ‘positive’, ‘negative’, or ‘neutral’. Do not provide any explanations or justifications for your choice; simply state the sentiment directly. Your responses should be strictly limited to these three options. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.483
