"idx","prompt","accuracy"
"base1","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert specializing in analyzing online customer reviews for e-commerce businesses. Categorize it as definitively either positive, negative, or neutral. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
"base2","<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert specializing in analyzing online reviews of restaurants. Provide a concise sentiment classification – “positive”, “negative”, or “neutral”. Do not include any explanations or justifications; simply state the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
"base3","<start_of_turn>user\LineSentiment classification task. There can be some sarcasam pay attention to this. Choose one of the following: positive, negative, or neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
"base4","<start_of_turn>user\LineYou are a professional brand monitor tasked with assessing customer feedback. Your role is to categorize the sentiment of each review as either positive, negative, or neutral. Your response MUST be limited to a single word: positive, negative, or neutral. Prioritize accuracy above all else.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
"base5","<start_of_turn>user\LineSentiment classification task. Dont let yourself be influenced by single words too much. Aanalyze the sentence as a whole. Choose carefully one of the following: positive, negative, or neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
"base6","<start_of_turn>user\LineYou are a highly experienced sentiment analysis expert specializing in analyzing whether people find prices appropriate. Provide a concise sentiment classification – “positive”, “negative”, or “neutral”. Do not include any explanations or justifications; simply state the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
"base7","<start_of_turn>user\LineDo a sentiment classification task. Specialize on people's emotion such as anger or joy. Provide a concise sentiment classification – “positive”, “negative”, or “neutral”. Do not include any explanations or justifications; simply state the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
"base8","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. You will receive reviews about movies. Answer with one word: 'positive', 'negative', or 'neutral'. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
"base9","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Focus on double negations in sentences. Answer with one word: 'positive', 'negative', or 'neutral'. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",
"base10","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to read sentences and determine the sentiment expressed. The sentiment should be classified as either 'positive', 'negative', or 'neutral'. Provide only the single word sentiment classification.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>"
