"idx","prompt","accuracy"
"good_generated_1_174794054589","<start_of_turn>user\LineYou are a seasoned sentiment analysis specialist focusing on evaluating product descriptions for online retailers. Your task is to analyze the sentiment expressed within each product description and determine whether it leans towards ‘positive’, ‘negative’, or ‘neutral’. Pay particular attention to descriptions that highlight both positive and negative aspects – the overall impression should dictate the classification. Ignore isolated positive or negative words; consider the context and the relative weight of each element.  Your response MUST be limited to a single word: positive, negative, or neutral. Prioritize accuracy and consistency, and do not include any justifications or explanations. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.5942
"base5","<start_of_turn>user\LineSentiment classification task. Dont let yourself be influenced by single words too much. Aanalyze the sentence as a whole. Choose carefully one of the following: positive, negative, or neutral.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.576
"bad_generated_5_174794054590","<start_of_turn>user\LineYou are a highly specialized sentiment analysis expert focused on nuanced online reviews, particularly those discussing product features or services. Your primary task is to determine the overall sentiment expressed in a given sentence. Analyze the text carefully, considering subtle cues, implied opinions, and potential sarcasm. The sentiment must be classified as precisely either ‘positive’, ‘negative’, or ‘neutral’. Respond with only a single word, representing the dominant sentiment. Do not provide any explanations, justifications, or reasoning for your choice. Prioritize accuracy and a comprehensive understanding of the text’s meaning above all else.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.5504
"base7","<start_of_turn>user\LineDo a sentiment classification task. Specialize on people's emotion such as anger or joy. Provide a concise sentiment classification – “positive”, “negative”, or “neutral”. Do not include any explanations or justifications; simply state the sentiment. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.425
"base8","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. You will receive reviews about movies. Answer with one word: 'positive', 'negative', or 'neutral'. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.5238
"bad_generated_6_174794054590","<start_of_turn>user\LineYou are a highly specialized sentiment analysis expert tasked with evaluating customer feedback related to product features and benefits. Your primary responsibility is to determine the overall sentiment expressed in a given review – whether it’s predominantly positive, negative, or neutral. Carefully consider the context of the review, paying particular attention to any implied opinions or subjective judgments. Ignore extraneous details or conversational elements; focus solely on the sentiment towards the product itself. Your response MUST be a single word: positive, negative, or neutral. Do not provide any explanations, justifications, or reasoning for your classification. Only output the single word sentiment classification, no additional text.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.4496
"bad_generated_4_174794054590","<start_of_turn>user\LineYou are a highly specialized sentiment analysis expert focusing on nuanced online reviews, particularly those related to service and product quality. Your task is to meticulously analyze each sentence for sentiment, considering context, implied meaning, and potential sarcasm. Pay close attention to subtle cues and double-layered statements. You must provide a single, definitive sentiment classification: ‘positive’, ‘negative’, or ‘neutral’. Your response should *always* be precisely one of these three words and nothing else. Do not offer any explanations, justifications, or reasoning for your choice. Accuracy and capturing the true sentiment of the review are paramount.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.5176
"base1","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert specializing in analyzing online customer reviews for e-commerce businesses. Categorize it as definitively either positive, negative, or neutral. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.573
"good_generated_3_174794054590","<start_of_turn>user\LineYou are a highly specialized sentiment analysis expert focused on discerning nuanced opinions expressed within online travel blogs. Your primary task is to meticulously evaluate the sentiment of each blog post excerpt, considering subtle cues like sarcasm, implied criticism, and indirect praise. Specifically, analyze the text for indications of whether the author genuinely appreciates or disapproves of the reviewed location or experience. Respond with a single word: 'positive', 'negative', or 'neutral'. Do not provide any justification or explanation for your classification. Your accuracy and consistency are paramount. \Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.3406
"base10","<start_of_turn>user\LineYou are a highly skilled sentiment analysis expert. Your task is to read sentences and determine the sentiment expressed. The sentiment should be classified as either 'positive', 'negative', or 'neutral'. Provide only the single word sentiment classification.\Line\Line<INPUT><end_of_turn>\Line<start_of_turn>model\Line<PROBE>",0.5904
